name,family,category,is_body,is_serif,is_italic,weight
Faustina 400 Italic,Faustina,serif,1,1,1,regular
Faustina 500,Faustina,serif,1,1,1,medium
Faustina 500 Italic,Faustina,serif,1,1,1,medium
Faustina 600,Faustina,serif,1,1,1,semibold
Faustina 600 Italic,Faustina,serif,1,1,1,semibold
Faustina 700,Faustina,serif,1,1,1,bold
Faustina 700 Italic,Faustina,serif,1,1,1,bold
Federant,Federant,display,0,1,0,regular
Federo,Federo,sans-serif,1,0,0,regular
Felipa,Felipa,handwriting,1,0,0,regular
Fenix,Fenix,serif,1,1,0,regular
Finger Paint,Finger Paint,display,0,0,0,regular
Fira Code 300,Fira Code,monospace,1,1,0,light
Fira Code 400,Fira Code,monospace,1,1,0,regular
Fira Code 500,Fira Code,monospace,1,1,0,medium
Fira Code 600,Fira Code,monospace,1,1,0,semibold
Fira Code 700,Fira Code,monospace,1,1,0,bold
Fira Mono 400,Fira Mono,monospace,1,1,0,regular
Fira Mono 500,Fira Mono,monospace,1,1,0,medium
Fira Mono 700,Fira Mono,monospace,1,1,0,bold
Fira Sans 100,Fira Sans,sans-serif,1,0,0,thin
Fira Sans 100 Italic,Fira Sans,sans-serif,1,0,1,thin
Fira Sans 200,Fira Sans,sans-serif,1,0,1,extralight
Fira Sans 200 Italic,Fira Sans,sans-serif,1,0,1,extralight
Fira Sans 300,Fira Sans,sans-serif,1,0,1,light
Fira Sans 300 Italic,Fira Sans,sans-serif,1,0,1,light
Fira Sans 400,Fira Sans,sans-serif,1,0,1,regular
Fira Sans 400 Italic,Fira Sans,sans-serif,1,0,1,regular
Fira Sans 500,Fira Sans,sans-serif,1,0,1,medium
Fira Sans 500 Italic,Fira Sans,sans-serif,1,0,1,medium
Fira Sans 600,Fira Sans,sans-serif,1,0,1,semibold
Fira Sans 600 Italic,Fira Sans,sans-serif,1,0,1,semibold
Fira Sans 700,Fira Sans,sans-serif,1,0,1,bold
Fira Sans 700 Italic,Fira Sans,sans-serif,1,0,1,bold
Fira Sans 800,Fira Sans,sans-serif,1,0,1,extrabold
Fira Sans 800 Italic,Fira Sans,sans-serif,1,0,1,extrabold
Fira Sans 900,Fira Sans,sans-serif,1,0,1,black
Fira Sans 900 Italic,Fira Sans,sans-serif,1,0,1,black
Fira Sans Condensed 100,Fira Sans Condensed,sans-serif,1,0,0,thin
Fira Sans Condensed 100 Italic,Fira Sans Condensed,sans-serif,1,0,1,thin
Fira Sans Condensed 200,Fira Sans Condensed,sans-serif,1,0,1,extralight
Fira Sans Condensed 200 Italic,Fira Sans Condensed,sans-serif,1,0,1,extralight
Fira Sans Condensed 300,Fira Sans Condensed,sans-serif,1,0,1,light
Fira Sans Condensed 300 Italic,Fira Sans Condensed,sans-serif,1,0,1,light
Fira Sans Condensed 400,Fira Sans Condensed,sans-serif,1,0,1,regular
Fira Sans Condensed 400 Italic,Fira Sans Condensed,sans-serif,1,0,1,regular
Fira Sans Condensed 500,Fira Sans Condensed,sans-serif,1,0,1,medium
Fira Sans Condensed 500 Italic,Fira Sans Condensed,sans-serif,1,0,1,medium
Fira Sans Condensed 600,Fira Sans Condensed,sans-serif,1,0,1,semibold
Fira Sans Condensed 600 Italic,Fira Sans Condensed,sans-serif,1,0,1,semibold
Fira Sans Condensed 700,Fira Sans Condensed,sans-serif,1,0,1,bold
Fira Sans Condensed 700 Italic,Fira Sans Condensed,sans-serif,1,0,1,bold
Fira Sans Condensed 800,Fira Sans Condensed,sans-serif,1,0,1,extrabold
Fira Sans Condensed 800 Italic,Fira Sans Condensed,sans-serif,1,0,1,extrabold
Fira Sans Condensed 900,Fira Sans Condensed,sans-serif,1,0,1,black
Fira Sans Condensed 900 Italic,Fira Sans Condensed,sans-serif,1,0,1,black
Fira Sans Extra Condensed 100,Fira Sans Extra Condensed,sans-serif,1,0,0,thin
Fira Sans Extra Condensed 100 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,thin
Fira Sans Extra Condensed 200,Fira Sans Extra Condensed,sans-serif,1,0,1,extralight
Fira Sans Extra Condensed 200 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,extralight
Fira Sans Extra Condensed 300,Fira Sans Extra Condensed,sans-serif,1,0,1,light
Fira Sans Extra Condensed 300 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,light
Fira Sans Extra Condensed 400,Fira Sans Extra Condensed,sans-serif,1,0,1,regular
Fira Sans Extra Condensed 400 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,regular
Fira Sans Extra Condensed 500,Fira Sans Extra Condensed,sans-serif,1,0,1,medium
Fira Sans Extra Condensed 500 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,medium
Fira Sans Extra Condensed 600,Fira Sans Extra Condensed,sans-serif,1,0,1,semibold
Fira Sans Extra Condensed 600 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,semibold
Fira Sans Extra Condensed 700,Fira Sans Extra Condensed,sans-serif,1,0,1,bold
Fira Sans Extra Condensed 700 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,bold
Fira Sans Extra Condensed 800,Fira Sans Extra Condensed,sans-serif,1,0,1,extrabold
Fira Sans Extra Condensed 800 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,extrabold
Fira Sans Extra Condensed 900,Fira Sans Extra Condensed,sans-serif,1,0,1,black
Fira Sans Extra Condensed 900 Italic,Fira Sans Extra Condensed,sans-serif,1,0,1,black
Fjalla One,Fjalla One,sans-serif,1,0,0,regular
Fjord One,Fjord One,serif,1,1,0,regular
Flamenco 300,Flamenco,display,0,1,0,light
Flamenco 400,Flamenco,display,0,1,0,regular
Flavors,Flavors,display,0,1,0,regular
Fondamento 400,Fondamento,handwriting,1,0,0,regular
Fondamento 400 Italic,Fondamento,handwriting,1,0,1,regular
Fontdiner Swanky,Fontdiner Swanky,display,0,1,0,regular
Forum,Forum,display,0,1,0,regular
Francois One,Francois One,sans-serif,1,0,0,regular
Frank Ruhl Libre 300,Frank Ruhl Libre,serif,1,1,0,light
Frank Ruhl Libre 400,Frank Ruhl Libre,serif,1,1,0,regular
Frank Ruhl Libre 500,Frank Ruhl Libre,serif,1,1,0,medium
Frank Ruhl Libre 700,Frank Ruhl Libre,serif,1,1,0,bold
Frank Ruhl Libre 900,Frank Ruhl Libre,serif,1,1,0,black
Freckle Face,Freckle Face,display,0,1,0,regular
Fredericka the Great,Fredericka the Great,display,0,1,0,regular
Fredoka One,Fredoka One,display,0,1,0,regular
Fresca,Fresca,sans-serif,1,0,0,regular
Frijole,Frijole,display,0,0,0,regular
Fruktur,Fruktur,display,0,1,0,regular
Fugaz One,Fugaz One,display,0,1,0,regular
Gabriela,Gabriela,serif,1,1,0,regular
Gaegu 300,Gaegu,handwriting,1,0,0,light
Gaegu 400,Gaegu,handwriting,1,0,0,regular
Gaegu 700,Gaegu,handwriting,1,0,0,bold
Gafata,Gafata,sans-serif,1,0,0,regular
Galada,Galada,display,0,1,0,regular
Galdeano,Galdeano,sans-serif,1,0,0,regular
Galindo,Galindo,display,0,0,0,regular
