name,family,category,is_body,is_serif,is_italic,weight,glyphs,
Sarabun Extra Bold,Sarabun,sans-serif,1,0,1,800,*,
Sarabun Extra Bold Italic,Sarabun,sans-serif,1,0,1,800,*,
Sarabun Extra Light,Sarabun,contemporary,1,0,1,200,,
Sarabun Extra Light Italic,Sarabun,contemporary,1,0,1,200,,
Sarabun Light,Sarabun,sans-serif,1,0,1,300,*,
Sarabun Light Italic,Sarabun,sans-serif,1,0,1,300,*,
Sarabun Medium,Sarabun,sans-serif,1,0,1,500,*,
Sarabun Medium Italic,Sarabun,sans-serif,1,0,1,500,*,
Sarabun Regular,Sarabun,sans-serif,1,0,1,400,*,
Sarabun Regular Italic,Sarabun,sans-serif,1,0,1,400,*,
Sarabun Semi Bold,Sarabun,sans-serif,1,0,1,600,*,
Sarabun Semi Bold Italic,Sarabun,sans-serif,1,0,1,600,*,
Sarabun Thin,Sarabun,contemporary,1,0,0,100,,
Sarabun Thin Italic,Sarabun,contemporary,1,0,1,100,,
Sarala Bold,Sarala,sans-serif,1,0,0,700,*,
Sarala Regular,Sarala,sans-serif,1,0,0,400,*,
Sarina,Sarina,script,0,1,0,400,,
Sarpanch Black,Sarpanch,geometric,1,0,0,900,,
Sarpanch Bold,Sarpanch,geometric,1,0,0,700,,
Sarpanch Extra Bold,Sarpanch,geometric,1,0,0,800,,
Sarpanch Medium,Sarpanch,geometric,1,0,0,500,,
Sarpanch Regular,Sarpanch,geometric,1,0,0,400,,
Sarpanch Semi Bold,Sarpanch,geometric,1,0,0,600,,
Satisfy,Satisfy,script,1,0,0,400,,
Sawarabi Gothic,Sawarabi Gothic,transitional,1,0,0,400,,
Sawarabi Mincho,Sawarabi Mincho,transitional,1,0,0,400,,
Scada Bold,Scada,humanist,1,0,1,700,,
Scada Bold Italic,Scada,humanist,1,0,1,700,,
Scada Regular,Scada,humanist,1,0,0,400,,
Scada Regular Italic,Scada,humanist,1,0,1,400,,
Scheherazade Bold,Scheherazade,transitional,1,1,0,700,,
Scheherazade Regular,Scheherazade,transitional,1,1,0,400,,
