name,family,category,is_body,is_serif,is_italic,weight,url
Athiti 500,Athiti,sans-serif,1,0,0,medium,http://fonts.google.com/specimen/Athiti
Athiti 600,Athiti,sans-serif,1,0,0,semibold,http://fonts.google.com/specimen/Athiti
Athiti 700,Athiti,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Athiti
Atma 300,Atma,display,0,0,0,light,http://fonts.google.com/specimen/Atma
Atma 400,Atma,display,0,0,0,regular,http://fonts.google.com/specimen/Atma
Atma 500,Atma,display,0,0,0,medium,http://fonts.google.com/specimen/Atma
Atma 600,Atma,display,0,0,0,semibold,http://fonts.google.com/specimen/Atma
Atma 700,Atma,display,0,0,0,bold,http://fonts.google.com/specimen/Atma
Atomic Age,Atomic Age,display,0,1,0,regular,http://fonts.google.com/specimen/Atomic+Age
Aubrey,Aubrey,display,0,0,0,regular,http://fonts.google.com/specimen/Aubrey
Audiowide,Audiowide,display,0,0,0,regular,http://fonts.google.com/specimen/Audiowide
Autour One,Autour One,display,0,1,0,regular,http://fonts.google.com/specimen/Autour+One
Average,Average,serif,1,1,0,regular,http://fonts.google.com/specimen/Average
Average Sans,Average Sans,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Average+Sans
Averia Gruesa Libre,Averia Gruesa Libre,display,0,0,0,regular,http://fonts.google.com/specimen/Averia+Gruesa+Libre
Averia Libre 300,Averia Libre,display,0,0,0,light,http://fonts.google.com/specimen/Averia+Libre
Averia Libre 300 Italic,Averia Libre,display,0,0,1,light,http://fonts.google.com/specimen/Averia+Libre
Averia Libre 400,Averia Libre,display,0,0,1,regular,http://fonts.google.com/specimen/Averia+Libre
Averia Libre 400 Italic,Averia Libre,display,0,0,1,regular,http://fonts.google.com/specimen/Averia+Libre
Averia Libre 700,Averia Libre,display,0,0,1,bold,http://fonts.google.com/specimen/Averia+Libre
Averia Libre 700 Italic,Averia Libre,display,0,0,1,bold,http://fonts.google.com/specimen/Averia+Libre
Averia Sans Libre 300,Averia Sans Libre,display,0,0,0,light,http://fonts.google.com/specimen/Averia+Sans+Libre
Averia Sans Libre 300 Italic,Averia Sans Libre,display,0,0,1,light,http://fonts.google.com/specimen/Averia+Sans+Libre
Averia Sans Libre 400,Averia Sans Libre,display,0,0,1,regular,http://fonts.google.com/specimen/Averia+Sans+Libre
Averia Sans Libre 400 Italic,Averia Sans Libre,display,0,0,1,regular,http://fonts.google.com/specimen/Averia+Sans+Libre
Averia Sans Libre 700,Averia Sans Libre,display,0,0,1,bold,http://fonts.google.com/specimen/Averia+Sans+Libre
Averia Sans Libre 700 Italic,Averia Sans Libre,display,0,0,1,bold,http://fonts.google.com/specimen/Averia+Sans+Libre
Averia Serif Libre 300,Averia Serif Libre,display,0,1,0,light,http://fonts.google.com/specimen/Averia+Serif+Libre
Averia Serif Libre 300 Italic,Averia Serif Libre,display,0,1,1,light,http://fonts.google.com/specimen/Averia+Serif+Libre
Averia Serif Libre 400,Averia Serif Libre,display,0,1,1,regular,http://fonts.google.com/specimen/Averia+Serif+Libre
Averia Serif Libre 400 Italic,Averia Serif Libre,display,0,1,1,regular,http://fonts.google.com/specimen/Averia+Serif+Libre
Averia Serif Libre 700,Averia Serif Libre,display,0,1,1,bold,http://fonts.google.com/specimen/Averia+Serif+Libre
Averia Serif Libre 700 Italic,Averia Serif Libre,display,0,1,1,bold,http://fonts.google.com/specimen/Averia+Serif+Libre
B612 400,B612,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/B612
B612 400 Italic,B612,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/B612
B612 700,B612,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/B612
B612 700 Italic,B612,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/B612
B612 Mono 400,B612 Mono,monospace,1,1,0,regular,http://fonts.google.com/specimen/B612+Mono
B612 Mono 400 Italic,B612 Mono,monospace,1,1,1,regular,http://fonts.google.com/specimen/B612+Mono
B612 Mono 700,B612 Mono,monospace,1,1,1,bold,http://fonts.google.com/specimen/B612+Mono
B612 Mono 700 Italic,B612 Mono,monospace,1,1,1,bold,http://fonts.google.com/specimen/B612+Mono
Bad Script,Bad Script,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Bad+Script
Bahiana,Bahiana,display,0,0,0,regular,http://fonts.google.com/specimen/Bahiana
Bahianita,Bahianita,display,0,1,0,regular,http://fonts.google.com/specimen/Bahianita
Bai Jamjuree 200,Bai Jamjuree,sans-serif,1,0,0,extralight,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 200 Italic,Bai Jamjuree,sans-serif,1,0,1,extralight,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 300,Bai Jamjuree,sans-serif,1,0,1,light,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 300 Italic,Bai Jamjuree,sans-serif,1,0,1,light,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 400,Bai Jamjuree,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 400 Italic,Bai Jamjuree,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 500,Bai Jamjuree,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 500 Italic,Bai Jamjuree,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 600,Bai Jamjuree,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 600 Italic,Bai Jamjuree,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 700,Bai Jamjuree,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Bai+Jamjuree
Bai Jamjuree 700 Italic,Bai Jamjuree,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Bai+Jamjuree
Baloo,Baloo,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo
Baloo Bhai,Baloo Bhai,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Bhai
Baloo Bhaijaan,Baloo Bhaijaan,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Bhaijaan
Baloo Bhaina,Baloo Bhaina,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Bhaina
Baloo Chettan,Baloo Chettan,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Chettan
Baloo Da,Baloo Da,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Da
Baloo Paaji,Baloo Paaji,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Paaji
Baloo Tamma,Baloo Tamma,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Tamma
Baloo Tammudu,Baloo Tammudu,display,0,0,0,regular,http://fonts.google.com/specimen/Baloo+Tammudu
